"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Iron & steel","IISLST","Liquid steel (intermediate product, in Mt)","IISBOXFUR01","Basic oxygen furnace, standard","Standard_FF","Mt"
"Iron & steel","IISLST","Liquid steel (intermediate product, in Mt)","IISELAFUR01","Electric arc furnace, standard","Electricity","Mt"
"Iron & steel","IISLST","Liquid steel (intermediate product, in Mt)","IISMIDREX01","MIDREX direct reduced iron","Standard_FF","Mt"
"Iron & steel","IISLST","Liquid steel (intermediate product, in Mt)","IISULCOREDQ01","ULCORED direct reduced iron CCS","CCS","Mt"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISBOIBFG01","Blast furnace gas boiler for low temperature heat (boiler)","Standard_FF","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISBOIBIOS01","Biomass boiler","Biomass","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISBOICOG01","Coke oven gas boiler for low temperature heat (boiler)","Standard_FF","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISBOIHYG01","Hydrogen boiler for low temperature heat (boiler)","Hydrogen","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISBOINGA01","Natural gas boiler for low temperature heat (boiler)","Natural gas","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISCHPBFG01","Gas turbine CHP based on blast furnace gas","Standard_FF","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Iron & steel","IISLTH","Low-temperature steam/heat from CHP/boilers for the iron & steel sector","IISCHPCOG01","Gas turbine CHP based on coke oven gas","Standard_FF","PJ"
